participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh_overall,cte_absmean_meters_overall,cte_absmean_meters_straight,cte_absmean_meters_shortturn,cte_absmean_meters_longturn,cte_sd_meters_overall,cte_sd_meters_straight,cte_sd_meters_shortturn,cte_sd_meters_longturn,cte_sd_meters_manual,cte_sd_meters_warning,cte_sd_meters_intervention,headingerror_absmean_deg_overall,headingerror_absmean_deg_straight,headingerror_absmean_deg_shortturn,headingerror_absmean_deg_longturn,headingerror_absmean_deg_manual,headingerror_absmean_deg_warning,headingerror_absmean_deg_intervention,headingerror_sd_deg_overall,headingerror_sd_deg_straight,headingerror_sd_deg_shortturn,headingerror_sd_deg_longturn,headingerror_sd_deg_manual,headingerror_sd_deg_warning,headingerror_sd_deg_intervention,steeringangle_sd_deg_overall,steeringangle_sd_deg_straight,steeringangle_sd_deg_shortturn,steeringangle_sd_deg_longturn,steeringangle_sd_deg_manual,steeringangle_sd_deg_warning,steeringangle_sd_deg_intervention,steeringreversal_perminute_overall,steeringreversal_perminute_manual,steeringreversal_perminute_warning,steeringreversal_perminute_intervention,steeringreversal_perminute_straight,steeringreversal_perminute_shortturn,steeringreversal_perminute_longturn,lka_switch_percenttime_overall,activelkaeffort_absmean_overall,activelkaeffort_absmean_straight,activelkaeffort_absmean_shortturn,activelkaeffort_absmean_longturn,percenttime_manual,percenttime_warning,percenttime_intervention,nback_hitrate_percent,nback_farate_percent,nback_accuracy_corrected_percent,nback_reactiontime_penalized_seconds,nback_processingspeed_inverseseconds
10,3,Baseline,98.0555,12.6086,0.152,0.11,0.2709,0.1498,0.1862,0.1255,0.3051,0.0937,0.1728,,0.043,1.4356,0.9775,3.0159,1.2361,1.41,,3.3484,2.1319,1.4002,3.9219,1.3527,2.086,,3.9702,2.997,0.8488,6.157,1.1315,2.9796,,0.6709,289.1554,282.4835,,789.0462,289.4305,317.2008,271.0676,100.0,0.1203,,0.1203,,98.6829,0.0,1.3171,25.0,3.1915,21.8085,1.4583,0.6857
10,6,Baseline,87.4722,13.7675,0.3017,0.222,0.2387,0.5111,0.41,0.3202,0.2294,0.6134,0.2282,,0.8328,3.9071,2.1083,3.4342,7.8624,3.2677,,6.8637,6.2152,4.3425,3.9122,9.7618,5.5798,,8.5638,4.7927,3.1586,5.9117,5.7272,4.3116,,6.577,384.4392,430.0711,,173.4327,529.8951,294.1647,169.2253,98.3172,0.3949,0.3005,0.0077,0.4474,82.2194,0.0,17.7806,0.0,0.0,0.0,1.5,0.0
11,1,Baseline,110.6945,11.1412,0.2465,0.1516,0.2699,0.3904,0.2277,0.169,0.2773,0.0871,0.2168,,0.4886,1.3385,0.8111,2.933,1.1483,1.3307,,1.6398,2.0662,1.1596,3.7324,1.3709,2.0574,,2.3265,3.1885,1.2218,6.1386,1.4574,3.1601,,3.9553,232.317,233.9426,,170.1102,256.2679,182.9957,225.3692,100.0,0.0231,,0.0476,0.0115,97.4533,0.0,2.5467,20.0,3.7736,16.2264,1.0556,0.9473
11,4,Baseline,109.5555,11.2753,0.2361,0.2169,0.29,0.2341,0.2702,0.2281,0.3029,0.113,0.2631,,0.4987,1.5159,0.8769,3.1048,1.5749,1.5144,,1.5852,2.4488,1.1786,4.4936,2.0464,2.4568,,2.0175,3.1156,0.984,6.3883,1.2616,3.0803,,4.5031,213.3925,217.2515,,26.9784,245.2709,116.8213,220.6541,100.0,0.0248,,0.0248,,97.9719,0.0,2.0281,75.0,1.8868,73.1132,1.1342,1.1802
12,2,Baseline,108.0278,11.4161,0.2299,0.1385,0.3355,0.3164,0.2539,0.2065,0.3436,0.0749,0.2188,,0.5317,1.5599,1.219,3.2425,1.0292,1.4381,,3.5124,2.5096,2.1119,4.3264,0.9164,2.3382,,4.3966,3.2928,1.4096,6.4669,1.3689,3.1597,,4.5852,229.7275,226.9695,,273.9165,227.4745,268.5474,207.8684,100.0,0.1648,0.3043,0.0874,,94.1252,0.0,5.8748,0.0,0.9615,-0.9615,1.5,0.0
12,3,Baseline,110.4722,11.2008,0.151,0.133,0.2088,0.147,0.1843,0.0838,0.2638,0.0928,0.1656,,0.0409,1.308,0.8556,2.8348,1.1609,1.2709,,2.7175,1.8582,1.2647,3.383,1.0849,1.7952,,2.8976,3.0546,0.9367,6.2239,1.4545,2.9985,,1.6723,239.2957,236.6833,,338.5527,255.9096,197.412,235.6194,100.0,0.0909,,0.0909,,97.4356,0.0,2.5644,0.0,1.9048,-1.9048,1.5,0.0
13,1,Baseline,170.0,7.3082,0.2259,0.2192,0.2505,0.2217,0.2716,0.2618,0.2954,0.2673,0.2404,,0.4699,2.2937,2.1783,2.7425,2.2062,2.2595,,2.7047,2.9897,2.893,3.128,3.0466,2.9382,,3.2176,4.8233,3.8908,6.9317,4.2772,4.63,,5.8667,307.1409,291.8186,,491.3516,312.6603,302.065,301.3652,100.0,0.0523,0.0592,0.0293,0.0652,92.3209,0.0,7.6791,16.6667,3.0488,13.6179,1.0139,0.9863
13,5,Baseline,142.3194,8.6815,0.1943,0.1209,0.3054,0.2519,0.1901,0.1284,0.2997,0.1435,0.1872,,0.0152,1.6172,1.1518,2.8014,1.6902,1.6,,7.6886,2.2048,1.5092,3.112,2.3924,2.1639,,4.0485,3.7982,2.0882,6.3422,3.535,3.6802,,2.861,217.7649,217.1157,,446.5393,212.0208,229.3596,220.5026,100.0,0.0401,,,0.0401,99.717,0.0,0.283,66.6667,0.7353,65.9314,1.1736,0.8647
14,3,Baseline,114.1389,10.9642,0.344,0.5246,0.2182,0.1215,0.6268,0.8169,0.255,0.1201,0.1936,,1.4066,3.202,4.6809,2.3825,1.2754,1.9084,,12.2607,7.9331,10.8355,3.0197,1.2058,4.7078,,18.0619,4.976,5.671,6.3039,1.5253,3.5496,,10.4852,299.359,305.4953,,256.3869,298.6097,320.7139,290.0255,100.0,0.4673,0.5037,0.0935,,87.5046,0.0,12.4954,75.0,1.8182,73.1818,0.7778,1.6709
14,6,Baseline,81.9167,15.0665,0.378,0.4143,0.2434,0.3936,0.17,0.1169,0.2328,0.079,0.1668,,0.0243,1.3916,0.8895,2.5138,1.6571,1.501,,0.7984,1.948,1.2921,2.9297,1.7537,2.0609,,1.1023,3.0496,1.1985,5.8851,1.8289,3.2491,,1.0218,289.0381,272.1678,,380.4573,328.5349,241.1707,241.8755,100.0,0.0407,0.0397,,0.0438,84.4211,0.0,15.5789,0.0,3.7975,-3.7975,1.5,0.0
16,2,Baseline,119.0972,10.4304,0.0717,0.0685,0.112,0.0516,0.0862,0.0834,0.12,0.0519,0.0862,,,1.1689,0.6565,2.7192,1.2084,1.1689,,,1.667,0.8893,3.0881,1.103,1.667,,,2.8908,0.901,5.8216,1.583,2.8908,,,268.2742,268.2742,,,322.3601,224.7905,184.5644,100.0,,,,,100.0,0.0,0.0,20.0,3.5088,16.4912,1.375,0.7273
16,6,Baseline,106.0555,11.694,0.1005,0.1009,0.1649,0.0709,0.1147,0.1133,0.1558,0.0749,0.1147,,,1.4439,0.9528,2.8443,1.4476,1.4439,,,1.9439,1.4192,3.4496,1.3404,1.9439,,,3.1109,1.1922,6.0055,1.8639,3.1109,,,239.6511,239.6511,,,235.818,223.2105,252.0838,100.0,,,,,100.0,0.0,0.0,50.0,0.0,50.0,1.368,0.731
5,2,HapticsFixed,131.7083,9.4429,0.3535,0.3357,0.2298,0.4677,0.2941,0.256,0.2714,0.3066,0.1274,0.2652,0.0592,1.7048,1.1764,3.2777,1.6786,2.4372,1.6863,0.9863,2.3558,1.9203,3.5759,1.3826,3.0088,2.3416,1.2784,3.2722,1.6242,6.2489,1.6922,3.4684,3.6687,1.8642,444.6717,276.5512,732.4321,362.4381,580.7128,385.8919,225.7439,100.0,0.1127,0.0589,0.0736,0.173,34.8903,30.3248,34.7849,28.5714,3.5714,25.0,0.9652,1.0652
5,5,HapticsFixed,112.0417,11.1155,0.3373,0.4058,0.3204,0.2301,0.2587,0.1562,0.2594,0.2923,0.1969,0.0748,0.2088,1.732,0.8046,3.416,2.2591,1.9931,1.4145,1.3887,2.7,1.183,4.1747,3.2992,2.8983,2.3026,2.4764,3.3501,1.2413,6.3532,2.184,3.4618,3.1374,3.2099,381.4697,328.5986,561.2619,393.9054,436.2467,362.5446,299.3618,100.0,0.0802,0.0264,0.1876,0.2748,56.1725,14.4893,29.3381,42.8571,3.2967,39.5604,0.7639,1.3932
6,1,HapticsFixed,122.0139,10.1143,0.2389,0.1874,0.2782,0.3027,0.2232,0.1987,0.287,0.0834,0.1508,0.2723,0.0067,1.4138,0.8466,3.0874,1.3405,1.3065,1.5398,1.314,1.8729,1.1398,3.2351,1.3326,1.701,2.059,1.0197,2.9975,1.1824,5.9124,1.3424,2.5259,3.4662,0.6863,527.6544,313.3944,774.6278,616.6495,480.3606,509.3735,620.1652,100.0,0.0195,,0.0195,,53.3007,45.9822,0.717,50.0,0.9524,49.0476,1.2361,0.8294
