participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh_overall,cte_absmean_meters_overall,cte_absmean_meters_straight,cte_absmean_meters_shortturn,cte_absmean_meters_longturn,cte_sd_meters_overall,cte_sd_meters_straight,cte_sd_meters_shortturn,cte_sd_meters_longturn,cte_sd_meters_manual,cte_sd_meters_warning,cte_sd_meters_intervention,headingerror_absmean_deg_overall,headingerror_absmean_deg_straight,headingerror_absmean_deg_shortturn,headingerror_absmean_deg_longturn,headingerror_absmean_deg_manual,headingerror_absmean_deg_warning,headingerror_absmean_deg_intervention,headingerror_sd_deg_overall,headingerror_sd_deg_straight,headingerror_sd_deg_shortturn,headingerror_sd_deg_longturn,headingerror_sd_deg_manual,headingerror_sd_deg_warning,headingerror_sd_deg_intervention,steeringangle_sd_deg_overall,steeringangle_sd_deg_straight,steeringangle_sd_deg_shortturn,steeringangle_sd_deg_longturn,steeringangle_sd_deg_manual,steeringangle_sd_deg_warning,steeringangle_sd_deg_intervention,steeringreversal_perminute_overall,steeringreversal_perminute_manual,steeringreversal_perminute_warning,steeringreversal_perminute_intervention,steeringreversal_perminute_straight,steeringreversal_perminute_shortturn,steeringreversal_perminute_longturn,lka_switch_percenttime_overall,activelkaeffort_absmean_overall,activelkaeffort_absmean_straight,activelkaeffort_absmean_shortturn,activelkaeffort_absmean_longturn,percenttime_manual,percenttime_warning,percenttime_intervention,nback_hitrate_percent,nback_farate_percent,nback_accuracy_corrected_percent,nback_reactiontime_penalized_seconds,nback_processingspeed_inverseseconds
6,4,HapticsAdaptive,117.7223,10.5389,0.3245,0.3762,0.1822,0.3319,0.2183,0.1561,0.191,0.2308,0.1284,0.1881,0.0186,1.6554,0.8301,3.31,1.9482,2.165,1.4782,0.859,2.4494,1.1067,3.7981,2.5962,3.0051,2.1897,1.2198,3.0987,0.9739,6.0051,1.6529,3.6808,2.7982,0.9511,420.6049,309.7588,469.1899,543.7052,425.4896,294.7761,496.3515,100.0,0.039,0.0393,0.0163,0.039,35.5078,53.7218,10.7703,66.6667,0.0,66.6667,1.2153,0.8315
6,5,HapticsAdaptive,111.3889,11.2283,0.3812,0.312,0.1267,0.6376,0.2951,0.2612,0.1544,0.053,0.1443,0.0938,0.0671,1.3521,0.9226,2.5623,1.3322,1.6214,1.3733,1.1142,2.0004,1.2923,3.4625,1.6252,2.4565,1.8789,1.5251,3.2003,1.0831,6.3121,2.0244,4.4062,1.3606,2.0722,464.9665,295.8978,396.6751,632.263,362.2202,229.5096,763.6444,100.0,0.1407,0.0407,,0.189,39.2844,14.9233,45.7923,66.6667,0.0,66.6667,1.1007,0.9123
7,2,HapticsAdaptive,132.5278,9.336,0.1099,0.0764,0.1947,0.1115,0.1368,0.0963,0.2235,0.087,0.0993,0.2807,,1.27,0.6984,2.669,1.3233,1.1479,2.3296,,1.7376,1.0492,3.0345,1.1272,1.5471,2.9081,,3.1243,0.8157,6.1172,1.808,2.6338,5.8452,,268.6816,268.3654,271.4259,,278.0246,245.9428,267.7434,100.0,,,,,89.6678,10.3322,0.0,16.6667,0.0,16.6667,0.7222,1.3847
7,6,HapticsAdaptive,98.5417,12.5565,0.1321,0.1097,0.2292,0.1141,0.1737,0.1091,0.2789,0.1127,0.1142,0.357,0.0096,1.5075,1.1638,3.0301,1.2105,1.3447,2.5407,1.5071,2.0897,1.5636,3.487,1.2702,1.8678,3.1565,1.7462,3.0281,1.2688,6.2481,1.203,2.5921,4.9707,0.6201,354.643,330.7889,476.6187,1027.7492,342.8552,398.9796,349.2555,100.0,0.0284,,0.0284,,85.8794,13.5287,0.5919,60.0,0.0,60.0,0.7222,1.3892
8,1,HapticsAdaptive,108.2917,11.686,0.3859,0.2333,0.9135,0.1693,0.7249,0.2451,1.3916,0.1641,0.1284,0.3329,1.7017,5.4887,1.3244,17.9615,1.5638,2.3576,3.9559,18.6818,13.7823,1.8543,27.5313,1.8692,6.3713,9.0264,29.51,7.2221,1.6992,14.0221,2.0622,4.096,4.1964,14.9424,401.8739,341.4928,423.1909,576.2057,375.0707,524.7127,332.7531,88.7022,0.4617,0.1407,0.5373,,57.2198,26.1606,16.6196,60.0,2.9126,57.0874,0.7408,1.5845
8,4,HapticsAdaptive,104.3473,11.9452,0.3873,0.2777,0.2481,0.625,0.3909,0.3426,0.3096,0.0412,0.1137,0.3877,0.0528,1.8175,1.737,2.9814,1.2977,1.7423,2.3766,1.6086,2.5613,2.5888,3.5516,1.2592,2.4694,3.4292,2.036,3.2816,1.5815,6.31,1.8022,3.9745,3.3861,2.0755,438.3185,388.8355,468.5906,465.8531,425.4091,443.0473,454.7387,100.0,0.164,0.1563,0.0486,0.1702,36.4919,20.8411,42.667,40.0,5.0,35.0,0.75,1.48
9,2,HapticsAdaptive,126.0833,9.8281,0.1199,0.1104,0.1585,0.1146,0.1382,0.135,0.1764,0.0809,0.1217,0.1219,,1.3816,0.789,3.0129,1.4799,1.3402,2.3617,,1.8913,1.0415,3.3084,1.4264,1.8307,2.749,,3.0,1.1657,5.9619,1.7728,2.8839,4.3136,,235.8197,240.3312,129.0272,,238.6443,191.6613,255.6462,100.0,,,,,95.9467,4.0533,0.0,28.5714,2.5,26.0714,0.7431,9.3423
9,3,HapticsAdaptive,101.4584,12.2135,0.1484,0.1486,0.1401,0.1526,0.1455,0.144,0.1578,0.1089,0.1076,0.1673,,1.1689,0.879,2.1613,1.1317,1.1672,1.1773,,1.5847,1.1731,2.6809,1.2919,1.5853,1.4996,,3.1609,1.499,6.1186,1.8877,3.2578,2.4725,,259.3709,232.9975,382.9466,,258.8817,265.7972,256.6807,100.0,,,,,82.4117,17.5883,0.0,0.0,4.2105,-4.2105,1.5,0.0
10,1,HapticsAdaptive,75.5,16.3312,0.2848,0.238,0.5491,0.1994,0.3533,0.1782,0.5801,0.1884,0.1166,0.373,0.7061,2.031,1.1535,4.557,1.9039,1.3693,1.9787,4.8253,3.3244,2.0643,5.7221,2.9415,2.1804,3.2104,6.1839,3.5977,1.528,6.7706,2.4548,2.1395,4.3516,4.9622,423.9536,273.9604,484.6305,813.0708,416.7042,655.0402,295.4097,100.0,0.2443,0.1257,0.2718,0.1554,47.5262,40.4635,12.0103,25.0,2.8169,22.1831,1.2361,0.809
10,5,HapticsAdaptive,96.2083,12.859,0.1653,0.1705,0.2275,0.118,0.1964,0.1065,0.2515,0.1341,0.1443,0.3162,0.0358,1.4553,0.9498,2.8809,1.4014,1.3536,1.8342,3.3268,2.2909,1.4705,3.8109,1.9307,2.127,2.8119,3.87,3.0198,0.9696,6.2114,1.1331,2.8119,3.5745,1.0435,317.7596,302.2643,359.0888,851.95,304.4354,301.5355,349.7155,100.0,0.1019,,0.1019,,82.246,16.657,1.097,60.0,1.1111,58.8889,1.162,0.868
11,3,HapticsAdaptive,108.6667,11.365,0.3216,0.2672,0.3509,0.3921,0.3025,0.2451,0.3628,0.3242,0.1075,0.2931,0.498,1.5087,0.8305,2.5409,1.9891,1.4094,1.3904,3.6587,2.3179,1.1711,2.6601,3.0408,2.254,2.0355,4.6849,3.1346,0.958,6.0632,2.0523,2.0102,3.23,5.7477,351.3917,228.4271,408.0912,367.129,282.8007,388.3706,440.3552,100.0,0.1717,0.0327,0.0624,0.2719,30.4281,64.6134,4.9585,20.0,5.8252,14.1748,1.5,0.6667
11,6,HapticsAdaptive,111.5,11.0846,0.1693,0.1116,0.3849,0.1432,0.2335,0.1513,0.4435,0.1094,0.1182,0.3095,0.6403,1.5982,1.2174,3.2744,1.2955,1.1478,2.3962,7.4701,3.0663,2.9959,4.9499,1.0998,2.0824,4.0841,9.1515,3.6461,2.269,6.8697,1.5102,2.175,5.5536,9.1524,242.4664,221.2537,324.4113,237.9199,209.3726,274.2643,275.352,100.0,0.3727,0.1387,0.4389,,76.7842,20.0523,3.1635,16.6667,2.8571,13.8095,1.4583,0.6857
12,4,HapticsAdaptive,98.5417,12.5534,0.2175,0.0831,0.3326,0.3127,0.2965,0.097,0.3425,0.3888,0.1137,0.3663,0.5505,2.0513,0.7879,2.3028,3.3062,1.4569,2.7318,4.4528,3.1222,1.154,2.9459,4.344,2.3387,3.7104,5.3539,3.2778,0.957,6.0669,2.7389,2.0666,4.5349,5.0573,288.3375,237.8913,318.5643,554.6401,236.5813,341.2429,321.2172,68.4752,0.2337,,0.1157,0.2529,66.9955,22.9143,10.0902,0.0,1.0753,-1.0753,1.5,0.0
12,5,HapticsAdaptive,94.9583,13.1148,0.3601,0.3809,0.3961,0.3058,0.454,0.4603,0.4402,0.4155,0.1251,0.3257,0.7535,4.2877,4.1132,4.3651,4.5342,3.1961,5.0088,5.4407,6.5198,7.0814,5.4457,6.0708,5.5176,7.3028,7.2669,4.9743,5.1396,6.4198,3.1172,3.3547,5.4219,6.4579,509.4257,294.8941,588.9723,788.5999,502.1513,614.0233,463.8617,88.4615,0.3195,0.354,0.2061,0.3193,46.6657,24.437,28.8973,0.0,1.1236,-1.1236,1.5,0.0
13,2,HapticsAdaptive,161.7778,7.66,0.2065,0.2583,0.1687,0.1449,0.2054,0.1355,0.2102,0.168,0.1305,0.2306,0.0142,1.6631,1.495,2.6945,1.3228,1.7525,1.5197,1.2098,2.1867,1.9784,3.3455,1.47,2.2659,2.0234,1.4756,3.6678,2.3353,6.615,2.167,3.7429,3.2701,3.836,294.2174,247.1021,366.1507,586.3988,316.7771,284.6956,263.3058,100.0,0.0265,0.0295,0.013,,64.6322,33.093,2.2749,50.0,1.3245,48.6755,1.2986,0.7796
13,6,HapticsAdaptive,175.3333,7.0772,0.199,0.1941,0.2224,0.1957,0.1395,0.1187,0.2266,0.0639,0.0937,0.185,,2.3302,2.7093,2.8773,1.263,1.3417,4.7883,,3.3807,3.5254,3.2004,1.2631,1.8221,4.5364,,4.8063,4.6059,6.2957,2.2465,3.3692,6.5593,,236.94,212.3756,298.0217,,276.044,182.178,190.0596,100.0,,,,,71.3188,28.6812,0.0,11.1111,1.2048,9.9063,1.2222,0.8182
14,1,HapticsAdaptive,112.5417,11.0056,0.1953,0.233,0.2568,0.0945,0.2008,0.1652,0.2859,0.0998,0.1244,0.226,0.0498,1.5185,1.2486,2.5081,1.4221,1.4171,1.6787,6.492,2.1931,1.9803,3.0027,1.8828,1.9077,2.5724,5.0288,3.2733,1.7611,6.196,2.075,2.8827,3.8052,2.0592,215.7208,198.6566,252.3681,369.9897,212.8875,234.3268,210.0037,100.0,0.1185,0.1185,,,69.1757,30.3924,0.4319,66.6667,4.7619,61.9048,0.7326,1.4438
14,4,HapticsAdaptive,88.875,13.8718,0.2991,0.2516,0.3047,0.3777,0.186,0.1257,0.306,0.0785,0.1147,0.1754,0.0225,1.6409,1.3003,2.8679,1.4843,1.8452,1.5621,1.3185,2.0562,1.6317,3.0522,1.4383,2.305,1.9262,1.566,3.0606,1.4521,5.8897,1.5986,2.7964,3.1825,0.8027,383.768,347.6717,366.2645,1343.5609,325.7279,392.7502,478.3686,100.0,0.0482,,,0.0482,29.875,67.7656,2.3594,50.0,3.5294,46.4706,1.2222,0.8539
16,1,HapticsAdaptive,136.9861,9.0413,0.0943,0.0647,0.1721,0.1058,0.1122,0.0802,0.1623,0.0612,0.1043,0.023,,1.1929,0.756,2.4224,1.31,1.1409,2.8437,,1.5802,0.9453,2.7808,1.0874,1.5315,1.0768,,3.0128,1.259,5.9804,1.6181,2.8715,1.2601,,236.3073,237.8773,186.4289,,282.4273,190.2886,168.1988,100.0,,,,,96.9485,3.0515,0.0,0.0,1.5385,-1.5385,1.5,0.0
16,5,HapticsAdaptive,103.6667,11.9648,0.0804,0.0755,0.0992,0.079,0.1252,0.1279,0.1077,0.0981,0.076,0.3534,0.019,1.4406,1.2423,2.201,1.3809,1.183,4.5006,7.055,2.3092,2.2037,2.783,1.6896,1.7874,4.0217,0.6898,2.9448,1.1389,5.9669,1.6669,3.0239,1.5261,0.5242,261.9418,247.3737,453.939,269.7842,261.9289,202.8847,295.9573,100.0,0.0405,0.0405,,,92.5653,7.006,0.4287,20.0,3.0612,16.9388,1.4723,0.6792
