participant_id;trial_condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
10;HapticsAdaptive;1;0,0000;278,0646;10,2000;0,5097;0,0129;0,0000;0,0000;0,0000;0,0000;0,0000;0,0161;0,6300;1,1400;1;0,0001;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0139;278,1039;10,2000;0,7355;0,0134;0,0000;0,0000;0,0000;0,0000;0,0000;0,0167;0,6500;1,3900;1;0,0001;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0278;278,1433;10,2000;1,0905;0,0139;0,0000;0,0000;0,0000;0,0000;0,0000;0,0174;0,6800;1,7700;1;0,0001;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0417;278,4088;10,2000;1,2854;0,0146;0,0000;0,0000;0,0000;0,0000;0,0000;0,0182;0,7100;2,0000;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0555;278,4088;10,2000;1,4698;0,0153;0,0000;0,0000;0,0000;0,0000;0,0000;0,0191;0,7500;2,2200;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0694;278,4088;10,2000;1,6275;0,0160;0,0000;0,0000;0,0000;0,0000;0,0000;0,0201;0,8000;2,4200;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0833;278,4088;10,2000;1,6590;0,0168;0,0000;0,0000;0,0000;0,0000;0,0000;0,0210;0,8400;2,5000;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,0972;278,4088;10,2000;1,7319;0,0177;0,0000;0,0000;0,0000;0,0000;0,0000;0,0221;0,8900;2,6200;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1111;278,4088;10,2000;1,7959;0,0185;0,0000;0,0000;0,0000;0,0000;0,0000;0,0232;0,9300;2,7300;1;0,0000;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1250;278,4187;10,2000;1,7655;0,0194;0,0000;0,0000;0,0000;0,0000;0,0000;0,0243;0,9800;2,7500;1;0,0001;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1389;278,4580;10,2000;1,7489;0,0203;0,0000;0,0000;0,0000;0,0000;0,0000;0,0254;1,0300;2,7800;1;0,0002;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1528;278,4973;10,2000;1,7389;0,0213;0,0000;0,0000;0,0000;0,0000;0,0000;0,0266;1,0700;2,8100;1;0,0003;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1667;278,5367;10,2000;1,7356;0,0222;0,0000;0,0000;0,0000;0,0000;0,0000;0,0278;1,1200;2,8600;1;0,0004;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1805;278,5760;10,2000;1,7316;0,0232;0,0000;0,0000;0,0000;0,0000;0,0000;0,0290;1,1700;2,9000;1;0,0005;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,1944;278,6154;10,2000;1,7051;0,0242;0,0000;0,0000;0,0000;0,0000;0,0000;0,0303;1,2100;2,9200;1;0,0007;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2083;278,8654;10,2000;1,6998;0,0252;0,0000;0,0000;0,0000;0,0000;0,0000;0,0315;1,2600;2,9600;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2222;278,8654;10,2000;1,6209;0,0263;0,0000;0,0000;0,0000;0,0000;0,0000;0,0328;1,3000;2,9200;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2361;278,8654;10,2000;1,4955;0,0273;0,0000;0,0000;0,0000;0,0000;0,0000;0,0341;1,3400;2,8400;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2500;278,8654;10,2000;1,2346;0,0283;0,0000;0,0000;0,0000;0,0000;0,0000;0,0354;1,3700;2,6100;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2639;278,8654;10,2000;1,0990;0,0293;0,0000;0,0000;0,0000;0,0000;0,0000;0,0366;1,4000;2,5000;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2778;278,8654;10,2000;0,9295;0,0302;0,0000;0,0000;0,0000;0,0000;0,0000;0,0378;1,4300;2,3600;1;0,0014;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,2917;278,8907;12,6000;0,7614;0,0312;0,0000;0,0000;0,0000;0,0000;0,0000;0,0390;1,4500;2,2100;1;0,0013;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3055;278,9393;12,6000;0,6208;0,0324;0,0000;0,0000;0,0000;0,0000;0,0000;0,0405;1,4700;2,0900;1;0,0012;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3194;278,9879;12,6000;0,5927;0,0335;0,0000;0,0000;0,0000;0,0000;0,0000;0,0419;1,4900;2,0900;1;0,0011;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3333;279,0364;12,6000;0,4333;0,0346;0,0000;0,0000;0,0000;0,0000;0,0000;0,0433;1,5100;1,9400;1;0,0009;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3472;279,0850;12,6000;-0,0039;0,0357;0,0000;0,0000;0,0000;0,0000;0,0000;0,0446;1,5100;1,5000;1;0,0008;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3611;279,3112;12,6000;-0,2785;0,0366;0,0000;0,0000;0,0000;0,0000;0,0000;0,0457;1,5000;1,2200;1;0,0002;0,0000;0;1;1;7;0;0
10;HapticsAdaptive;1;0,3750;279,3112;12,6000;-0,4758;0,0375;0,0000;0,0000;0,0000;0,0000;0,0000;0,0468;1,4900;1,0100;1;0,0002;0,0000;0;1;1;7;0;0
