participant_id;trial_condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
6;Baseline;2;0,0000;260,6377;6,1000;-0,8446;0,0825;0,0000;0,0000;0,0000;0,0000;0,0000;0,1032;2,4000;1,5600;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0139;260,6377;6,1000;-0,8480;0,0832;0,0000;0,0000;0,0000;0,0000;0,0000;0,1040;2,3900;1,5400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0278;260,6377;6,1000;-0,8583;0,0839;0,0000;0,0000;0,0000;0,0000;0,0000;0,1049;2,3800;1,5200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0417;260,6377;6,1000;-0,8671;0,0846;0,0000;0,0000;0,0000;0,0000;0,0000;0,1057;2,3600;1,4900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0556;260,6377;6,1000;-0,8787;0,0852;0,0000;0,0000;0,0000;0,0000;0,0000;0,1066;2,3500;1,4700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0695;260,6377;6,1000;-0,8934;0,0859;0,0000;0,0000;0,0000;0,0000;0,0000;0,1074;2,3400;1,4400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0834;260,6377;6,1000;-0,8963;0,0866;0,0000;0,0000;0,0000;0,0000;0,0000;0,1082;2,3200;1,4300;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,0973;260,6377;6,1000;-0,8843;0,0873;0,0000;0,0000;0,0000;0,0000;0,0000;0,1091;2,3100;1,4200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1111;260,6377;6,1000;-0,8819;0,0879;0,0000;0,0000;0,0000;0,0000;0,0000;0,1099;2,3000;1,4100;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1250;260,3871;6,1000;-0,8616;0,0886;0,0000;0,0000;0,0000;0,0000;0,0000;0,1107;2,2800;1,4200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1389;260,3636;6,1000;-0,8255;0,0892;0,0000;0,0000;0,0000;0,0000;0,0000;0,1116;2,2700;1,4400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1528;260,3401;6,1000;-0,7747;0,0899;0,0000;0,0000;0,0000;0,0000;0,0000;0,1124;2,2600;1,4800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1667;260,3166;6,1000;-0,7274;0,0906;0,0000;0,0000;0,0000;0,0000;0,0000;0,1132;2,2500;1,5200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1806;260,2931;6,1000;-0,6655;0,0912;0,0000;0,0000;0,0000;0,0000;0,0000;0,1141;2,2400;1,5700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,1945;260,2695;6,4000;-0,6299;0,0919;0,0000;0,0000;0,0000;0,0000;0,0000;0,1149;2,2300;1,6000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2084;260,2449;6,4000;-0,6100;0,0926;0,0000;0,0000;0,0000;0,0000;0,0000;0,1158;2,2200;1,6100;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2223;260,2202;6,4000;-0,6015;0,0933;0,0000;0,0000;0,0000;0,0000;0,0000;0,1166;2,2100;1,6100;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2361;260,1955;6,4000;-0,5987;0,0940;0,0000;0,0000;0,0000;0,0000;0,0000;0,1175;2,2000;1,6000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2500;260,1814;6,4000;-0,6034;0,0947;0,0000;0,0000;0,0000;0,0000;0,0000;0,1184;2,1900;1,5900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2639;260,1814;6,4000;-0,6282;0,0954;0,0000;0,0000;0,0000;0,0000;0,0000;0,1192;2,1800;1,5500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2778;260,1814;6,4000;-0,6807;0,0961;0,0000;0,0000;0,0000;0,0000;0,0000;0,1201;2,1700;1,4900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,2917;260,1814;6,4000;-0,7662;0,0967;0,0000;0,0000;0,0000;0,0000;0,0000;0,1209;2,1600;1,3900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3056;260,1814;6,4000;-0,8600;0,0974;0,0000;0,0000;0,0000;0,0000;0,0000;0,1217;2,1400;1,2800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3195;260,1814;6,4000;-0,9410;0,0980;0,0000;0,0000;0,0000;0,0000;0,0000;0,1225;2,1300;1,1900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3334;260,1814;6,4000;-0,9992;0,0986;0,0000;0,0000;0,0000;0,0000;0,0000;0,1233;2,1100;1,1100;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3473;260,1814;6,4000;-1,0796;0,0992;0,0000;0,0000;0,0000;0,0000;0,0000;0,1240;2,1000;1,0200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3611;260,1814;6,4000;-1,1494;0,0998;0,0000;0,0000;0,0000;0,0000;0,0000;0,1247;2,0800;0,9300;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3750;259,9487;6,4000;-1,2131;0,1003;0,0000;0,0000;0,0000;0,0000;0,0000;0,1254;2,0600;0,8500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,3889;259,9240;6,4000;-1,2498;0,1009;0,0000;0,0000;0,0000;0,0000;0,0000;0,1261;2,0400;0,7900;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4028;259,8993;6,4000;-1,2881;0,1014;0,0000;0,0000;0,0000;0,0000;0,0000;0,1268;2,0200;0,7300;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4167;259,8747;6,4000;-1,3173;0,1020;0,0000;0,0000;0,0000;0,0000;0,0000;0,1275;2,0000;0,6800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4306;259,8500;6,4000;-1,3337;0,1025;0,0000;0,0000;0,0000;0,0000;0,0000;0,1281;1,9800;0,6400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4445;259,8253;6,4000;-1,3352;0,1030;0,0000;0,0000;0,0000;0,0000;0,0000;0,1288;1,9500;0,6200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4584;259,8006;6,4000;-1,2859;0,1035;0,0000;0,0000;0,0000;0,0000;0,0000;0,1294;1,9300;0,6500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4723;259,7759;6,4000;-1,2142;0,1041;0,0000;0,0000;0,0000;0,0000;0,0000;0,1301;1,9100;0,7000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,4861;259,7512;6,4000;-1,1160;0,1046;0,0000;0,0000;0,0000;0,0000;0,0000;0,1307;1,9000;0,7800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5000;259,7265;6,4000;-1,0129;0,1051;0,0000;0,0000;0,0000;0,0000;0,0000;0,1314;1,8800;0,8700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5139;259,7258;6,4000;-0,9578;0,1056;0,0000;0,0000;0,0000;0,0000;0,0000;0,1320;1,8600;0,9000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5278;259,7258;6,4000;-0,8824;0,1062;0,0000;0,0000;0,0000;0,0000;0,0000;0,1327;1,8500;0,9600;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5417;259,7258;6,4000;-0,8059;0,1067;0,0000;0,0000;0,0000;0,0000;0,0000;0,1334;1,8300;1,0300;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5556;259,7258;6,4000;-0,7398;0,1072;0,0000;0,0000;0,0000;0,0000;0,0000;0,1340;1,8200;1,0800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5695;259,7258;6,4000;-0,6898;0,1078;0,0000;0,0000;0,0000;0,0000;0,0000;0,1347;1,8100;1,1200;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5834;259,7258;6,4000;-0,6573;0,1083;0,0000;0,0000;0,0000;0,0000;0,0000;0,1354;1,8000;1,1400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,5973;259,7258;6,4000;-0,6345;0,1088;0,0000;0,0000;0,0000;0,0000;0,0000;0,1361;1,7900;1,1500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6111;259,7258;6,4000;-0,6089;0,1094;0,0000;0,0000;0,0000;0,0000;0,0000;0,1367;1,7800;1,1700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6250;259,7258;6,4000;-0,5923;0,1099;0,0000;0,0000;0,0000;0,0000;0,0000;0,1374;1,7700;1,1700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6389;259,4797;6,4000;-0,5871;0,1105;0,0000;0,0000;0,0000;0,0000;0,0000;0,1381;1,7600;1,1700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6528;259,4550;6,4000;-0,5950;0,1110;0,0000;0,0000;0,0000;0,0000;0,0000;0,1387;1,7500;1,1500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6667;259,4303;6,4000;-0,6304;0,1115;0,0000;0,0000;0,0000;0,0000;0,0000;0,1394;1,7300;1,1000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6806;259,4056;6,4000;-0,6692;0,1120;0,0000;0,0000;0,0000;0,0000;0,0000;0,1400;1,7200;1,0500;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,6945;259,3810;7,3000;-0,7064;0,1125;0,0000;0,0000;0,0000;0,0000;0,0000;0,1407;1,7100;1,0000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7084;259,3528;7,3000;-0,7534;0,1131;0,0000;0,0000;0,0000;0,0000;0,0000;0,1414;1,6900;0,9400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7223;259,3246;7,3000;-0,8211;0,1136;0,0000;0,0000;0,0000;0,0000;0,0000;0,1420;1,6800;0,8600;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7361;259,2965;7,3000;-0,8810;0,1142;0,0000;0,0000;0,0000;0,0000;0,0000;0,1427;1,6600;0,7800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7500;259,2782;7,3000;-0,9471;0,1147;0,0000;0,0000;0,0000;0,0000;0,0000;0,1434;1,6400;0,7000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7639;259,2782;7,3000;-0,9961;0,1152;0,0000;0,0000;0,0000;0,0000;0,0000;0,1440;1,6200;0,6300;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7778;259,2782;7,3000;-1,0217;0,1157;0,0000;0,0000;0,0000;0,0000;0,0000;0,1446;1,6000;0,5800;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,7917;259,2782;7,3000;-1,0447;0,1162;0,0000;0,0000;0,0000;0,0000;0,0000;0,1452;1,5800;0,5400;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,8056;259,2782;7,3000;-1,0659;0,1166;0,0000;0,0000;0,0000;0,0000;0,0000;0,1458;1,5600;0,5000;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,8195;259,2782;7,3000;-1,0733;0,1171;0,0000;0,0000;0,0000;0,0000;0,0000;0,1464;1,5400;0,4700;1;0,0000;0,0000;0;1;1;3;0;0
6;Baseline;2;0,8334;259,2782;7,3000;-1,0794;0,1175;0,0000;0,0000;0,0000;0,0000;0,0000;0,1469;1,5200;0,4400;1;0,0000;0,0000;0;1;1;3;0;0
