participant_id,condition,laptime_total_seconds,steering_reversal_rate,srr_during_vibration,srr_during_lka,cte_absmean_meters,pct_time_edge_region,srr_straight,srr_vibration_straight,srr_lka_straight,cte_absmean_straight,srr_short_turn,srr_vibration_short_turn,srr_lka_short_turn,cte_absmean_short_turn,srr_long_turn,srr_vibration_long_turn,srr_lka_long_turn,cte_absmean_long_turn,nback_hitrate_pct,nback_farate_pct,nback_accuracy_corrected_pct,nback_penalized_rt_seconds,nback_processing_speed,Trust_Score,TAM_PU,TAM_PEOU,TAM_Total,Specify what gender you identify with,How old are you?,How often do you ride a bicycle?,How confident are you in your cycling skills?,Have you used VR systems or simulators before?,"If yes, how often do you use VR or simulators?",How familiar are you with VR or simulation environments?
11,Baseline,110.125,223.0612,0.0,1.3698,0.2413,2.2874,125.022,0.0,0.0,0.1843,136.4433,0.0,2.0336,0.2799,223.2814,0.0,0.8696,0.3123,47.5,2.8302,44.6698,1.0949,1.0638,2.9583,2.0,5.0,3.5,Male,21,Several times per month,7,Yes,Rarely,3
11,HapticsAdaptive,110.0834,297.2041,4.9887,4.2051,0.2454,4.061,123.1552,4.0867,10.3572,0.1894,300.2039,5.2997,2.2424,0.3679,358.2823,5.5051,3.0732,0.2676,18.3334,4.3412,13.9922,1.4792,0.6762,1.9583,1.8,4.8,3.3,Male,21,Several times per month,7,Yes,Rarely,3
11,HapticsFixed,113.1598,714.4026,17.0293,9.2958,0.234,0.4451,310.3468,19.7847,0.0,0.2053,630.2801,11.6635,9.2958,0.326,956.5952,16.6488,0.0,0.2275,8.3334,2.3148,6.0185,1.4306,0.3674,1.7083,2.1,5.5,3.8,Male,21,Several times per month,7,Yes,Rarely,3
12,Baseline,109.25,234.729,0.0,4.2566,0.1904,4.2196,125.3817,0.0,0.7362,0.1358,210.8868,0.0,4.904,0.2722,222.0178,0.0,0.0,0.2317,0.0,1.4332,-1.4332,1.5,0.0,4.7083,3.5,5.8,4.65,Male,22,Rarely,6,No,This is my first time,1
12,HapticsAdaptive,96.75,399.2584,7.562,9.3355,0.2888,19.4938,180.6878,4.6282,4.6112,0.232,433.7093,7.2831,9.3444,0.3644,393.0187,8.409,10.6783,0.3093,0.0,1.0994,-1.0994,1.5,0.0,4.625,3.6,5.8,4.7,Male,22,Rarely,6,No,This is my first time,1
12,HapticsFixed,106.3472,346.247,7.8505,8.1738,0.2197,9.9094,152.0469,7.5121,6.539,0.1718,413.0585,8.5821,15.1994,0.2862,367.2827,6.9746,6.6582,0.2558,0.0,1.0162,-1.0162,1.5,0.0,4.2917,3.4,5.7,4.55,Male,22,Rarely,6,No,This is my first time,1
13,Baseline,156.1597,262.6861,0.0,6.5184,0.2101,3.977,132.772,0.0,3.4426,0.17,240.9366,0.0,3.4286,0.278,261.2182,0.0,6.3911,0.2368,41.6667,1.892,39.7746,1.0938,0.9255,4.625,4.7,6.7,5.7,Male,20,Several times per month,6,Yes,Rarely,4
13,HapticsAdaptive,168.5556,265.8132,4.7144,4.0754,0.2027,1.1332,157.2628,5.1416,4.1666,0.2262,211.337,4.2476,3.6734,0.1956,226.927,4.1789,0.0,0.1703,30.5556,1.2646,29.2909,1.2604,0.7989,4.625,4.8,6.4,5.6,Male,20,Several times per month,6,Yes,Rarely,4
13,HapticsFixed,158.25,281.93,7.3888,10.2608,0.1674,0.8616,159.7688,6.6006,0.0,0.1734,289.2372,7.8197,3.3962,0.1873,213.523,7.3148,9.079,0.1451,22.5,2.9631,19.5369,1.1701,0.8572,4.6667,4.7,6.6,5.65,Male,20,Several times per month,6,Yes,Rarely,4
14,Baseline,98.0278,294.4766,0.0,4.4261,0.361,14.0372,166.4739,0.0,4.2344,0.4694,253.8819,0.0,2.967,0.2308,266.2926,0.0,2.8899,0.2576,37.5,2.8078,34.6922,1.1389,0.8354,3.0,2.3,5.4,3.85,Male,23,Several times per week,7,No,This is my first time,2
14,HapticsAdaptive,100.7084,300.0275,4.5395,11.9092,0.2472,1.3956,140.3674,3.9458,2.5714,0.2423,284.154,4.4834,0.0,0.2808,344.6294,5.6058,9.3378,0.2361,58.3334,4.1456,54.1877,0.9774,1.1488,3.2083,3.3,6.4,4.85,Male,23,Several times per week,7,No,This is my first time,2
14,HapticsFixed,107.882,474.632,10.1407,6.0,0.2132,0.8098,277.2638,10.2347,1.9355,0.2161,276.9359,6.0116,0.0,0.1868,536.8754,10.86,7.5,0.2384,25.0,4.2652,20.7348,1.1436,0.6532,3.4583,3.7,6.1,4.9,Male,23,Several times per week,7,No,This is my first time,2
16,Baseline,112.5764,254.1973,0.0,0.0,0.0861,0.0,145.4002,0.0,0.0,0.0847,203.589,0.0,0.0,0.1384,218.5844,0.0,0.0,0.0612,35.0,1.7544,33.2456,1.3715,0.7292,4.4167,6.0,7.0,6.5,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,HapticsAdaptive,120.3264,249.3534,4.3768,1.875,0.0874,0.2144,151.2656,3.0173,1.875,0.0701,178.3146,1.2957,0.0,0.1356,232.3652,3.1884,0.0,0.0924,10.0,2.2998,7.7002,1.4861,0.3396,4.0417,5.0,6.5,5.75,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,HapticsFixed,112.1736,286.2718,7.177,0.0,0.0772,0.0,188.5408,0.0,0.0,0.0708,191.168,2.8436,0.0,0.1065,220.5088,4.3334,0.0,0.0733,35.0,2.3035,32.6965,1.4202,0.71,4.625,6.7,6.7,6.7,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
